Fact,Category
Electrical engineers designed fiber optic communication.,Engineering & Technology - Engineering
Engineers created prosthetic limbs controlled by the brain.,Engineering & Technology - Engineering
Chemical engineers develop vaccines and pharmaceuticals.,Engineering & Technology - Engineering
Engineers designed skyscrapers that sway safely in wind.,Engineering & Technology - Engineering
The Hoover Dam contains enough concrete to build a highway from San Francisco to New York.,Engineering & Technology - Engineering
Aerospace engineers test rocket propulsion systems.,Engineering & Technology - Engineering
Engineers use robotics in deep-sea exploration.,Engineering & Technology - Engineering
Engineers designed the Space Shuttle to be reusable.,Engineering & Technology - Engineering
Biomedical engineers created artificial hearts.,Engineering & Technology - Engineering
"Engineers built the world’s longest bridge, the Danyang–Kunshan Grand Bridge in China.",Engineering & Technology - Engineering
Engineers design desalination plants for fresh water.,Engineering & Technology - Engineering
Engineers developed nuclear power plants.,Engineering & Technology - Engineering
Engineers created GPS navigation systems.,Engineering & Technology - Engineering
Engineers helped design the Hoover Tower’s wind tunnel.,Engineering & Technology - Engineering
Civil engineers design sustainable smart cities.,Engineering & Technology - Engineering
Engineers created robotics for disaster recovery.,Engineering & Technology - Engineering
Engineers develop autonomous underwater vehicles (AUVs).,Engineering & Technology - Engineering
Engineers built the Petronas Towers in Malaysia.,Engineering & Technology - Engineering
"Engineering failures, like Chernobyl, led to stricter safety.",Engineering & Technology - Engineering
Engineers design space habitats for astronauts.,Engineering & Technology - Engineering
Engineers test jet engines at supersonic speeds.,Engineering & Technology - Engineering
Engineers built the Panama Canal with massive locks.,Engineering & Technology - Engineering
The London Underground is one of the oldest subway systems.,Engineering & Technology - Engineering
Engineers use AI for predictive maintenance.,Engineering & Technology - Engineering
Engineers designed hovercraft that float on air cushions.,Engineering & Technology - Engineering
Engineers created robotic surgery systems like Da Vinci.,Engineering & Technology - Engineering
Engineers helped design earthquake-proof skyscrapers in Japan.,Engineering & Technology - Engineering
"Engineers built the tallest statue, the Statue of Unity in India.",Engineering & Technology - Engineering
Engineers created 3D-printed houses.,Engineering & Technology - Engineering
The Large Hadron Collider’s magnets reach −271 °C.,Engineering & Technology - Engineering
Engineers develop drone swarms for agriculture.,Engineering & Technology - Engineering
Engineers designed solar-powered aircraft.,Engineering & Technology - Engineering
Engineers built the Channel Tunnel with 3 tunnels.,Engineering & Technology - Engineering
Engineers use AI for bridge inspection.,Engineering & Technology - Engineering
Engineers develop bionic eyes to restore vision.,Engineering & Technology - Engineering
Engineers create biodegradable plastics.,Engineering & Technology - Engineering
Engineers designed wind farms offshore.,Engineering & Technology - Engineering
Engineers test cars in crash labs for safety.,Engineering & Technology - Engineering
Engineers built the CN Tower in Toronto.,Engineering & Technology - Engineering
Engineers designed supersonic military jets.,Engineering & Technology - Engineering
Engineers built the world’s fastest elevators in Shanghai Tower.,Engineering & Technology - Engineering
Engineers test earthquake safety on shake tables.,Engineering & Technology - Engineering
Engineers designed desalination systems in Dubai.,Engineering & Technology - Engineering
Engineers use computer simulations for flight dynamics.,Engineering & Technology - Engineering
Engineers helped build the International Space Station modules.,Engineering & Technology - Engineering
Engineers designed Mars helicopters like Ingenuity.,Engineering & Technology - Engineering
Engineers study material fatigue in bridges.,Engineering & Technology - Engineering
Engineers built Dubai’s Palm Islands.,Engineering & Technology - Engineering
Engineers test drones in wind tunnels.,Engineering & Technology - Engineering
Engineers designed advanced prosthetic arms with touch sensors.,Engineering & Technology - Engineering
Engineers study nanomaterials for strength.,Engineering & Technology - Engineering
Engineers built the world’s largest telescope arrays.,Engineering & Technology - Engineering
Engineers design high-speed railways.,Engineering & Technology - Engineering
Engineers build advanced batteries for renewable energy.,Engineering & Technology - Engineering
Engineers create earthquake warning systems.,Engineering & Technology - Engineering
Engineers developed airbags for car safety.,Engineering & Technology - Engineering
Engineers design skyscrapers with tuned mass dampers.,Engineering & Technology - Engineering
Engineers developed nuclear submarines.,Engineering & Technology - Engineering
Engineers built the Panama Canal expansion in 2016.,Engineering & Technology - Engineering
Engineers design underwater tunnels.,Engineering & Technology - Engineering
"Engineers built the Millau Viaduct, the tallest bridge.",Engineering & Technology - Engineering
Engineers test parachutes for space missions.,Engineering & Technology - Engineering
Engineers built the Hoover Dam in the 1930s.,Engineering & Technology - Engineering
Engineers design rocket engines with liquid fuel.,Engineering & Technology - Engineering
Engineers use biomimicry to copy natural designs.,Engineering & Technology - Engineering
Engineers study wind turbine blade aerodynamics.,Engineering & Technology - Engineering
Engineers built the world’s deepest subway in St. Petersburg.,Engineering & Technology - Engineering
Engineers design exoskeleton suits for workers.,Engineering & Technology - Engineering
Engineers developed space probes like Voyager.,Engineering & Technology - Engineering
Engineers design spacecraft heat shields.,Engineering & Technology - Engineering
Engineers test spacecraft in vacuum chambers.,Engineering & Technology - Engineering
Engineers design AI-powered robots.,Engineering & Technology - Engineering
Engineers develop earthquake-proof houses.,Engineering & Technology - Engineering
Engineers built Panama’s Miraflores locks.,Engineering & Technology - Engineering
Engineers create hybrid cars.,Engineering & Technology - Engineering
Engineers develop rockets for Mars missions.,Engineering & Technology - Engineering
Engineers build offshore wind farms.,Engineering & Technology - Engineering
Engineers developed airbags in the 1950s.,Engineering & Technology - Engineering
Engineers create solar-powered desalination units.,Engineering & Technology - Engineering
Engineers design advanced water filtration systems.,Engineering & Technology - Engineering
Engineers test supersonic passenger aircraft.,Engineering & Technology - Engineering
Engineers build hyperloop transport systems.,Engineering & Technology - Engineering
"Engineering combines science, math, and creativity to solve problems.",Engineering & Technology - Engineering
"The wheel, invented around 3500 BCE, is one of humanity’s oldest inventions.",Engineering & Technology - Inventions & Discoveries
The plow revolutionized agriculture in Mesopotamia.,Engineering & Technology - Inventions & Discoveries
Writing was invented by the Sumerians around 3200 BCE.,Engineering & Technology - Inventions & Discoveries
The first known alphabet appeared with the Phoenicians.,Engineering & Technology - Inventions & Discoveries
Papyrus in Egypt allowed early books and records.,Engineering & Technology - Inventions & Discoveries
The compass was invented in China around the 2nd century BCE.,Engineering & Technology - Inventions & Discoveries
Gunpowder originated in China in the 9th century.,Engineering & Technology - Inventions & Discoveries
Printing with movable type was developed by Johannes Gutenberg in the 15th century.,Engineering & Technology - Inventions & Discoveries
Paper was invented in China around 105 CE.,Engineering & Technology - Inventions & Discoveries
Glassblowing was first developed in the Roman Empire.,Engineering & Technology - Inventions & Discoveries
Concrete allowed the Romans to build enduring structures.,Engineering & Technology - Inventions & Discoveries
Aqueducts brought water to Roman cities.,Engineering & Technology - Inventions & Discoveries
The first mechanical clock appeared in 13th-century Europe.,Engineering & Technology - Inventions & Discoveries
Eyeglasses were invented in Italy around 1286.,Engineering & Technology - Inventions & Discoveries
The telescope was invented by Hans Lippershey in 1608.,Engineering & Technology - Inventions & Discoveries
Galileo improved the telescope for astronomy.,Engineering & Technology - Inventions & Discoveries
The microscope was developed in the late 16th century.,Engineering & Technology - Inventions & Discoveries
Antonie van Leeuwenhoek advanced microbiology with microscopes.,Engineering & Technology - Inventions & Discoveries
Steam engines powered the Industrial Revolution.,Engineering & Technology - Inventions & Discoveries
James Watt improved steam engine efficiency.,Engineering & Technology - Inventions & Discoveries
"The cotton gin, invented by Eli Whitney, transformed textile production.",Engineering & Technology - Inventions & Discoveries
Telegraphs enabled long-distance communication in the 19th century.,Engineering & Technology - Inventions & Discoveries
Samuel Morse invented Morse code.,Engineering & Technology - Inventions & Discoveries
Alexander Graham Bell invented the telephone in 1876.,Engineering & Technology - Inventions & Discoveries
Thomas Edison invented the phonograph in 1877.,Engineering & Technology - Inventions & Discoveries
Edison also invented the practical light bulb.,Engineering & Technology - Inventions & Discoveries
Nikola Tesla pioneered alternating current electricity.,Engineering & Technology - Inventions & Discoveries
Tesla’s inventions included wireless power transmission experiments.,Engineering & Technology - Inventions & Discoveries
The first radio transmission was made by Guglielmo Marconi.,Engineering & Technology - Inventions & Discoveries
Television was first demonstrated in the 1920s.,Engineering & Technology - Inventions & Discoveries
The first computer was the ENIAC (1946).,Engineering & Technology - Inventions & Discoveries
Alan Turing developed the concept of modern computing.,Engineering & Technology - Inventions & Discoveries
"The transistor, invented in 1947, enabled smaller electronics.",Engineering & Technology - Inventions & Discoveries
Integrated circuits revolutionized computing in the 1960s.,Engineering & Technology - Inventions & Discoveries
The internet originated as ARPANET in the 1960s.,Engineering & Technology - Inventions & Discoveries
Email was first used in the early 1970s.,Engineering & Technology - Inventions & Discoveries
The World Wide Web was invented by Tim Berners-Lee in 1989.,Engineering & Technology - Inventions & Discoveries
Smartphones combined phones and computers in one device.,Engineering & Technology - Inventions & Discoveries
GPS was invented for U.S. military use.,Engineering & Technology - Inventions & Discoveries
Satellites now provide global communication and navigation.,Engineering & Technology - Inventions & Discoveries
The airplane was invented by the Wright brothers in 1903.,Engineering & Technology - Inventions & Discoveries
Jet engines powered faster air travel in WWII.,Engineering & Technology - Inventions & Discoveries
Spaceflight began with Sputnik in 1957.,Engineering & Technology - Inventions & Discoveries
Apollo 11 in 1969 landed the first humans on the Moon.,Engineering & Technology - Inventions & Discoveries
Nuclear power was discovered in the 20th century.,Engineering & Technology - Inventions & Discoveries
Nuclear weapons were first used in 1945.,Engineering & Technology - Inventions & Discoveries
"Penicillin, discovered by Alexander Fleming in 1928, revolutionized medicine.",Engineering & Technology - Inventions & Discoveries
Vaccines have prevented diseases for centuries.,Engineering & Technology - Inventions & Discoveries
Edward Jenner developed the first smallpox vaccine.,Engineering & Technology - Inventions & Discoveries
Louis Pasteur developed germ theory.,Engineering & Technology - Inventions & Discoveries
X-rays were discovered by Wilhelm Röntgen in 1895.,Engineering & Technology - Inventions & Discoveries
MRI scanners use magnets to image the human body.,Engineering & Technology - Inventions & Discoveries
Insulin was discovered in 1921 to treat diabetes.,Engineering & Technology - Inventions & Discoveries
The structure of DNA was discovered in 1953 by Watson and Crick.,Engineering & Technology - Inventions & Discoveries
CRISPR allows gene editing.,Engineering & Technology - Inventions & Discoveries
Stem cell research may revolutionize medicine.,Engineering & Technology - Inventions & Discoveries
Artificial hearts can temporarily replace human hearts.,Engineering & Technology - Inventions & Discoveries
Pacemakers regulate irregular heartbeats.,Engineering & Technology - Inventions & Discoveries
Anesthesia was introduced in the 19th century.,Engineering & Technology - Inventions & Discoveries
Surgical antiseptics were pioneered by Joseph Lister.,Engineering & Technology - Inventions & Discoveries
Electric cars date back to the 19th century.,Engineering & Technology - Inventions & Discoveries
Modern batteries power smartphones and vehicles.,Engineering & Technology - Inventions & Discoveries
Solar panels convert sunlight into energy.,Engineering & Technology - Inventions & Discoveries
Wind turbines generate renewable electricity.,Engineering & Technology - Inventions & Discoveries
3D printing allows rapid prototyping and production.,Engineering & Technology - Inventions & Discoveries
"Drones are used for delivery, mapping, and warfare.",Engineering & Technology - Inventions & Discoveries
Artificial intelligence powers modern applications.,Engineering & Technology - Inventions & Discoveries
Robotics is transforming manufacturing.,Engineering & Technology - Inventions & Discoveries
Nanotechnology manipulates matter at the atomic level.,Engineering & Technology - Inventions & Discoveries
Quantum computing could revolutionize data processing.,Engineering & Technology - Inventions & Discoveries
Blockchain enables cryptocurrencies like Bitcoin.,Engineering & Technology - Inventions & Discoveries
Smart contracts run on blockchain platforms.,Engineering & Technology - Inventions & Discoveries
Virtual reality immerses users in digital environments.,Engineering & Technology - Inventions & Discoveries
Augmented reality overlays digital information on the real world.,Engineering & Technology - Inventions & Discoveries
Biotechnology combines biology and technology.,Engineering & Technology - Inventions & Discoveries
Genetic sequencing maps entire genomes.,Engineering & Technology - Inventions & Discoveries
Artificial limbs are increasingly advanced and robotic.,Engineering & Technology - Inventions & Discoveries
Cochlear implants restore hearing to the deaf.,Engineering & Technology - Inventions & Discoveries
Braille was invented in 1824 for the visually impaired.,Engineering & Technology - Inventions & Discoveries
The typewriter revolutionized writing in the 19th century.,Engineering & Technology - Inventions & Discoveries
The printing press made books widely available.,Engineering & Technology - Inventions & Discoveries
Paperclips were patented in the 19th century.,Engineering & Technology - Inventions & Discoveries
Velcro was inspired by burrs clinging to fabric.,Engineering & Technology - Inventions & Discoveries
Post-it Notes were invented by accident.,Engineering & Technology - Inventions & Discoveries
Bubble wrap was originally designed as wallpaper.,Engineering & Technology - Inventions & Discoveries
Microwave ovens were invented after radar experiments.,Engineering & Technology - Inventions & Discoveries
The safety pin was patented in 1849.,Engineering & Technology - Inventions & Discoveries
Zippers were invented in the early 20th century.,Engineering & Technology - Inventions & Discoveries
Matches made fire-starting easier.,Engineering & Technology - Inventions & Discoveries
Fireworks originated in China.,Engineering & Technology - Inventions & Discoveries
The wheelbarrow was first used in China.,Engineering & Technology - Inventions & Discoveries
The abacus was an early calculator.,Engineering & Technology - Inventions & Discoveries
The telescope expanded human vision of the cosmos.,Engineering & Technology - Inventions & Discoveries
The stethoscope was invented in 1816.,Engineering & Technology - Inventions & Discoveries
The thermometer was developed in the 17th century.,Engineering & Technology - Inventions & Discoveries
The barometer measures air pressure.,Engineering & Technology - Inventions & Discoveries
The seismograph measures earthquakes.,Engineering & Technology - Inventions & Discoveries
The electric light revolutionized nighttime activity.,Engineering & Technology - Inventions & Discoveries
Telegraph lines once connected continents.,Engineering & Technology - Inventions & Discoveries
Submarines were first used in the 17th century.,Engineering & Technology - Inventions & Discoveries
The printing of newspapers spread mass communication.,Engineering & Technology - Inventions & Discoveries
Typewriters led to modern keyboards.,Engineering & Technology - Inventions & Discoveries
The QWERTY layout was designed in 1873.,Engineering & Technology - Inventions & Discoveries
Refrigeration transformed food storage.,Engineering & Technology - Inventions & Discoveries
Canning preserved food for long-term use.,Engineering & Technology - Inventions & Discoveries
Pasteurization made milk safer to drink.,Engineering & Technology - Inventions & Discoveries
The first photograph was taken in 1826.,Engineering & Technology - Inventions & Discoveries
Cameras evolved into digital photography.,Engineering & Technology - Inventions & Discoveries
Video recording began in the 20th century.,Engineering & Technology - Inventions & Discoveries
DVDs and Blu-ray made media portable.,Engineering & Technology - Inventions & Discoveries
Streaming services replaced physical media.,Engineering & Technology - Inventions & Discoveries
Social media is one of the most recent major inventions.,Engineering & Technology - Inventions & Discoveries
Air conditioning transformed life in hot climates.,Engineering & Technology - Inventions & Discoveries
Elevators enabled skyscraper construction.,Engineering & Technology - Inventions & Discoveries
Bridges enabled trade and expansion of civilizations.,Engineering & Technology - Inventions & Discoveries
Automobiles reshaped cities and lifestyles.,Engineering & Technology - Inventions & Discoveries
Highways connected nations in the 20th century.,Engineering & Technology - Inventions & Discoveries
Trains drove industrial expansion in the 19th century.,Engineering & Technology - Inventions & Discoveries
Electric trams revolutionized city transport.,Engineering & Technology - Inventions & Discoveries
Rocketry made spaceflight possible.,Engineering & Technology - Inventions & Discoveries
Jetpacks have been developed but are impractical for mass use.,Engineering & Technology - Inventions & Discoveries
Hoverboards exist but rely on magnetic levitation.,Engineering & Technology - Inventions & Discoveries
"Lasers are used in medicine, science, and entertainment.",Engineering & Technology - Inventions & Discoveries
Fiber optics carry internet signals worldwide.,Engineering & Technology - Inventions & Discoveries
Wi-Fi made wireless internet accessible.,Engineering & Technology - Inventions & Discoveries
Bluetooth enabled short-range wireless connections.,Engineering & Technology - Inventions & Discoveries
Smartphones integrate dozens of prior inventions.,Engineering & Technology - Inventions & Discoveries
Smartwatches extend computing to the wrist.,Engineering & Technology - Inventions & Discoveries
Wearable health trackers monitor vital signs.,Engineering & Technology - Inventions & Discoveries
Drones photograph landscapes and deliver packages.,Engineering & Technology - Inventions & Discoveries
Self-driving cars are being tested globally.,Engineering & Technology - Inventions & Discoveries
Electric buses are replacing diesel fleets.,Engineering & Technology - Inventions & Discoveries
Magnetic levitation trains travel over 370 mph.,Engineering & Technology - Inventions & Discoveries
The Panama Canal was one of the greatest engineering feats.,Engineering & Technology - Inventions & Discoveries
The Suez Canal transformed global shipping.,Engineering & Technology - Inventions & Discoveries
The discovery of penicillin was accidental.,Engineering & Technology - Inventions & Discoveries
Microwave popcorn bags contain metal for even heating.,Engineering & Technology - Inventions & Discoveries
Velcro is used in space missions.,Engineering & Technology - Inventions & Discoveries
Teflon was discovered during research on refrigerants.,Engineering & Technology - Inventions & Discoveries
Nylon was the first synthetic fiber.,Engineering & Technology - Inventions & Discoveries
Kevlar is used in bulletproof vests.,Engineering & Technology - Inventions & Discoveries
Graphene is one of the strongest materials ever discovered.,Engineering & Technology - Inventions & Discoveries
The lightbulb had many inventors before Edison perfected it.,Engineering & Technology - Inventions & Discoveries
Radio waves were discovered by Heinrich Hertz.,Engineering & Technology - Inventions & Discoveries
The phonograph preserved sound mechanically.,Engineering & Technology - Inventions & Discoveries
Cassette tapes revolutionized personal music.,Engineering & Technology - Inventions & Discoveries
Walkmans brought music on the go in the 1980s.,Engineering & Technology - Inventions & Discoveries
Streaming replaced physical music media.,Engineering & Technology - Inventions & Discoveries
Many great inventions were accidental discoveries.,Engineering & Technology - Inventions & Discoveries
Inventions & discoveries continue to transform human civilization at accelerating speed.,Engineering & Technology - Inventions & Discoveries
"The word “technology” comes from the Greek techne (art, skill) and logos (study).",Engineering & Technology - Technology
"The first computer, ENIAC, weighed about 30 tons.",Engineering & Technology - Technology
The internet was originally called ARPANET.,Engineering & Technology - Technology
The World Wide Web was invented by Tim Berners-Lee in 1989.,Engineering & Technology - Technology
"The first smartphone was the IBM Simon, released in 1994.",Engineering & Technology - Technology
Email existed before the World Wide Web.,Engineering & Technology - Technology
"Bluetooth is named after a Viking king, Harald “Bluetooth” Gormsson.",Engineering & Technology - Technology
The first 1GB hard drive was released in 1980 and weighed 550 pounds.,Engineering & Technology - Technology
The first text message was sent in 1992.,Engineering & Technology - Technology
The floppy disk was introduced by IBM in 1971.,Engineering & Technology - Technology
The first 3D printer was invented in 1983.,Engineering & Technology - Technology
GPS was originally developed for the U.S. military.,Engineering & Technology - Technology
The first video game is often considered to be “Pong” (1972).,Engineering & Technology - Technology
The first webcam was used at Cambridge University to monitor a coffee pot.,Engineering & Technology - Technology
Cloud computing allows data storage and access over the internet.,Engineering & Technology - Technology
The first commercial email service began in the 1970s.,Engineering & Technology - Technology
The QR code was invented in Japan in 1994.,Engineering & Technology - Technology
The first Apple computer was built in a garage in 1976.,Engineering & Technology - Technology
The first iPhone was released in 2007.,Engineering & Technology - Technology
The term “bug” in computing came from an actual moth stuck in a computer in 1947.,Engineering & Technology - Technology
Wi-Fi stands for “Wireless Fidelity.”,Engineering & Technology - Technology
Moore’s Law predicted that transistor counts would double every 2 years.,Engineering & Technology - Technology
The first search engine was Archie in 1990.,Engineering & Technology - Technology
Google was founded in 1998.,Engineering & Technology - Technology
Social media platforms like Facebook launched in 2004.,Engineering & Technology - Technology
The first tweet was sent in 2006.,Engineering & Technology - Technology
"Artificial intelligence can now write, paint, and compose music.",Engineering & Technology - Technology
The first YouTube video was uploaded in 2005.,Engineering & Technology - Technology
The first camera phone appeared in Japan in 1999.,Engineering & Technology - Technology
Bitcoin was created in 2009 by Satoshi Nakamoto.,Engineering & Technology - Technology
The first ATM was installed in 1967 in London.,Engineering & Technology - Technology
The microchip was invented in 1959.,Engineering & Technology - Technology
The first email was sent by Ray Tomlinson in 1971.,Engineering & Technology - Technology
The mouse was invented by Douglas Engelbart in 1964.,Engineering & Technology - Technology
The first personal computer was the Altair 8800 (1975).,Engineering & Technology - Technology
The CD was invented in 1982.,Engineering & Technology - Technology
The DVD replaced VHS tapes in the 1990s.,Engineering & Technology - Technology
Streaming services now account for most music consumption.,Engineering & Technology - Technology
Wikipedia was launched in 2001.,Engineering & Technology - Technology
Over 5 billion people use mobile phones worldwide.,Engineering & Technology - Technology
90% of the world’s data has been created in the past two years.,Engineering & Technology - Technology
The first video game console was the Magnavox Odyssey (1972).,Engineering & Technology - Technology
The first laptop computer was the Osborne 1 (1981).,Engineering & Technology - Technology
"Drones are widely used in agriculture, film, and defense.",Engineering & Technology - Technology
The first online purchase was a pizza from Pizza Hut in 1994.,Engineering & Technology - Technology
The emoji was created in Japan in 1999.,Engineering & Technology - Technology
The term “podcast” combines iPod and broadcast.,Engineering & Technology - Technology
AI chatbots are used in customer service worldwide.,Engineering & Technology - Technology
The first domain name registered was symbolics.com (1985).,Engineering & Technology - Technology
Smartphones have more computing power than Apollo 11 spacecraft computers.,Engineering & Technology - Technology
Cybersecurity is one of the fastest-growing industries.,Engineering & Technology - Technology
The USB was introduced in 1996.,Engineering & Technology - Technology
The world’s first website is still online at info.cern.ch.,Engineering & Technology - Technology
Apple became the first trillion-dollar company in 2018.,Engineering & Technology - Technology
Over 500 hours of video are uploaded to YouTube every minute.,Engineering & Technology - Technology
The first online multiplayer game was “MUD1” in 1978.,Engineering & Technology - Technology
Virtual reality is increasingly used in education and training.,Engineering & Technology - Technology
Augmented reality overlays digital images on the real world.,Engineering & Technology - Technology
The first text-based browsers appeared in the early 1990s.,Engineering & Technology - Technology
Electric cars existed before gasoline cars.,Engineering & Technology - Technology
The first 5G networks launched in 2019.,Engineering & Technology - Technology
The first photo on the internet was of a comedy band.,Engineering & Technology - Technology
Email spam accounts for over 45% of all emails sent.,Engineering & Technology - Technology
Google’s first storage was built from Lego bricks.,Engineering & Technology - Technology
The average smartphone user checks their phone over 100 times a day.,Engineering & Technology - Technology
Touchscreen technology was invented in the 1960s.,Engineering & Technology - Technology
The MP3 format revolutionized music distribution.,Engineering & Technology - Technology
Internet cables run under the ocean across continents.,Engineering & Technology - Technology
The first robotic vacuum cleaner was released in 2002 (Roomba).,Engineering & Technology - Technology
"Wearable fitness trackers monitor steps, heart rate, and sleep.",Engineering & Technology - Technology
The first online dating site was Match.com in 1995.,Engineering & Technology - Technology
Cloud gaming allows users to play without consoles.,Engineering & Technology - Technology
Amazon started as an online bookstore.,Engineering & Technology - Technology
eBay was originally called AuctionWeb.,Engineering & Technology - Technology
Netflix began as a DVD rental service.,Engineering & Technology - Technology
Spotify launched in 2008 in Sweden.,Engineering & Technology - Technology
TikTok became the most downloaded app in 2020.,Engineering & Technology - Technology
The selfie became popular with smartphones.,Engineering & Technology - Technology
SpaceX uses reusable rockets.,Engineering & Technology - Technology
Tesla popularized electric cars in the 21st century.,Engineering & Technology - Technology
The first AI chess program to beat a world champion was Deep Blue in 1997.,Engineering & Technology - Technology
The first commercial text message said “Merry Christmas.”,Engineering & Technology - Technology
Google Maps launched in 2005.,Engineering & Technology - Technology
Wikipedia has over 6 million articles in English alone.,Engineering & Technology - Technology
Smartphones outsold PCs for the first time in 2011.,Engineering & Technology - Technology
Voice assistants like Siri and Alexa use AI.,Engineering & Technology - Technology
Cyberattacks cost billions annually.,Engineering & Technology - Technology
The world’s first email was sent between two computers side by side.,Engineering & Technology - Technology
3D printing can create organs and prosthetics.,Engineering & Technology - Technology
Bitcoin mining consumes huge amounts of electricity.,Engineering & Technology - Technology
Cloud storage services include Dropbox and Google Drive.,Engineering & Technology - Technology
USB-C is now a universal charging standard.,Engineering & Technology - Technology
Smartwatches can detect heart problems.,Engineering & Technology - Technology
The average website lifespan is less than 3 years.,Engineering & Technology - Technology
Drones deliver packages in some countries.,Engineering & Technology - Technology
The internet of things (IoT) connects smart devices.,Engineering & Technology - Technology
Virtual assistants can mimic human conversation.,Engineering & Technology - Technology
Robots are used in surgery for precision.,Engineering & Technology - Technology
The first iPod was released in 2001.,Engineering & Technology - Technology
Apple’s App Store launched in 2008.,Engineering & Technology - Technology
The first Android phone was the HTC Dream (2008).,Engineering & Technology - Technology
Samsung is the world’s largest smartphone manufacturer.,Engineering & Technology - Technology
The first search on Google was “Gerhard Casper.”,Engineering & Technology - Technology
Twitter originally limited posts to 140 characters.,Engineering & Technology - Technology
Reddit was founded in 2005.,Engineering & Technology - Technology
WhatsApp was founded in 2009.,Engineering & Technology - Technology
Zoom grew massively during the COVID-19 pandemic.,Engineering & Technology - Technology
"The world’s first satellite, Sputnik, was launched in 1957.",Engineering & Technology - Technology
"GPS satellites orbit about 20,000 km above Earth.",Engineering & Technology - Technology
The Hubble Space Telescope launched in 1990.,Engineering & Technology - Technology
Smartphones account for more than half of web traffic.,Engineering & Technology - Technology
The world’s first color TV broadcast was in 1954.,Engineering & Technology - Technology
HDTV became common in the 2000s.,Engineering & Technology - Technology
The first email attachment was sent in 1992.,Engineering & Technology - Technology
Online shopping boomed in the 2000s.,Engineering & Technology - Technology
The first Wi-Fi standard was released in 1997.,Engineering & Technology - Technology
Over 4.5 billion people use the internet today.,Engineering & Technology - Technology
Online piracy led to major copyright changes.,Engineering & Technology - Technology
The emoji keyboard was introduced in 2011.,Engineering & Technology - Technology
Drones can map disaster areas quickly.,Engineering & Technology - Technology
3D holograms are becoming reality.,Engineering & Technology - Technology
Quantum computing may revolutionize technology.,Engineering & Technology - Technology
Cloud AI powers voice recognition.,Engineering & Technology - Technology
Blockchain is used beyond cryptocurrency.,Engineering & Technology - Technology
Hackers once took down the internet in parts of the U.S. (2016).,Engineering & Technology - Technology
"The world’s fastest supercomputer is in Japan (Fugaku, 2020).",Engineering & Technology - Technology
Cybercrime is one of the biggest threats to nations.,Engineering & Technology - Technology
The first text-based search engines predated Google.,Engineering & Technology - Technology
Over 1 billion hours of YouTube videos are watched daily.,Engineering & Technology - Technology
Smartphones can replace credit cards with NFC.,Engineering & Technology - Technology
Self-driving cars use sensors and AI.,Engineering & Technology - Technology
The world’s first email address was tomlinson@bbn-tenexa.,Engineering & Technology - Technology
Over 3 billion photos are shared daily online.,Engineering & Technology - Technology
Virtual reality headsets became mainstream in the 2010s.,Engineering & Technology - Technology
The Apple Watch launched in 2015.,Engineering & Technology - Technology
Video calls existed in the 1960s.,Engineering & Technology - Technology
Zoom added over 300 million daily users in 2020.,Engineering & Technology - Technology
Smartphones now include multiple cameras.,Engineering & Technology - Technology
AI can now generate realistic images.,Engineering & Technology - Technology
Smart homes connect appliances to the internet.,Engineering & Technology - Technology
Internet memes spread culture rapidly.,Engineering & Technology - Technology
"Over 500,000 new websites are created daily.",Engineering & Technology - Technology
The dot-com bubble burst in 2000.,Engineering & Technology - Technology
Cloud computing reduces need for local servers.,Engineering & Technology - Technology
Social media algorithms influence elections.,Engineering & Technology - Technology
Online learning platforms grew rapidly in 2020.,Engineering & Technology - Technology
Cryptocurrency exchanges trade billions daily.,Engineering & Technology - Technology
AI is used in facial recognition.,Engineering & Technology - Technology
Technology evolves faster than most regulations.,Engineering & Technology - Technology
Technology shapes nearly every aspect of modern life.,Engineering & Technology - Technology
The Guinness World Records book was first published in 1955.,General - Records & Achievements
It began as a way to settle pub arguments in Ireland.,General - Records & Achievements
Usain Bolt holds the world record for the 100m sprint (9.58s).,General - Records & Achievements
Michael Phelps is the most decorated Olympian with 28 medals.,General - Records & Achievements
The tallest man recorded was Robert Wadlow at 8 ft 11 in (2.72 m).,General - Records & Achievements
The shortest adult recorded was Chandra Bahadur Dangi at 21.5 in (54.6 cm).,General - Records & Achievements
"The heaviest person recorded was Jon Brower Minnoch, over 1,400 lbs (635 kg).",General - Records & Achievements
"The oldest person verified was Jeanne Calment, who lived to 122 years.",General - Records & Achievements
The longest fingernails ever recorded belonged to Lee Redmond at 28 ft total.,General - Records & Achievements
The longest hair recorded measured over 18 feet.,General - Records & Achievements
The fastest land animal is the cheetah (70 mph).,General - Records & Achievements
"The fastest bird is the peregrine falcon, diving at over 200 mph.",General - Records & Achievements
The largest animal on Earth is the blue whale.,General - Records & Achievements
The smallest mammal is the bumblebee bat.,General - Records & Achievements
"The heaviest pumpkin weighed over 2,700 lbs.",General - Records & Achievements
"The largest pizza ever made measured over 13,000 sq ft.",General - Records & Achievements
The longest marathon run lasted over 54 years (Fujisawa Shiso).,General - Records & Achievements
"The longest chess game theoretically possible is 5,949 moves.",General - Records & Achievements
The longest tennis match lasted 11 hours 5 minutes (Wimbledon 2010).,General - Records & Achievements
The tallest building in the world is the Burj Khalifa (828 m).,General - Records & Achievements
"The Great Pyramid of Giza was the tallest structure for 3,800 years.",General - Records & Achievements
